,0
265,2169446.318216371
266,22318897.5
267,9876187.931818182
268,3838398.0362491147
269,1507762.3469426588
270,1033686.3759954331
271,2240705.738856988
272,1352615.717671339
273,2240135.108330266
274,9398384.749721002
275,1186556.9834456579
276,4946373.666666667
277,892001.575960479
278,4700786.459327687
279,3141959.408057438
280,2335964.07315995
281,22720900.0
282,1574181.300418233
283,6713618.974358973
284,2819034.475724702
285,1059918.799369068
286,8015438.4100744035
287,2518693.916873961
288,2401880.205718112
289,3509492.993363276
290,1546006.5896630033
291,14656000.0
292,4111053.2136315345
293,10633195.0
294,1947143.7903030778
295,4851265.909143257
296,970557.3147623464
297,1685776.0424591082
298,3609242.6268254626
299,2937570.684198843
300,4546829.278929078
301,809503.5392062498
302,1540995.9130624072
303,7119096.787518242
304,2437427.839918526
305,2687732.7339677005
306,5533408.788014696
307,2576314.682971243
308,2587599.041899535
309,2296953.8306851243
310,2283706.205128314
311,2525073.4683211525
312,2619709.6769027193
313,3425547.1998014804
314,1753155.2998523524
315,8506277.943818558
316,4514871.499999999
317,1096857.8741837104
318,1223753.7209342043
319,2437216.0610377174
320,2604703.2100232895
321,1789408.2600600019
322,2369373.1292158132
323,4082193.822510822
324,2792336.2934637605
325,3644757.5916305915
326,967041.9486619532
327,2275440.0643559657
328,2594083.0965064005
329,1345031.2118255063
330,3404280.2806258076
331,5406276.003054726
332,1384144.9446934385
333,3173948.3570153476
334,2323757.7319713165
335,1325879.4017304324
336,1392757.487718699
337,2597069.4055808587
338,1352979.03397879
339,1977731.6818225093
340,3406574.657018738
341,13197925.0
342,2672332.5648926245
343,3457883.442432398
344,934578.3524568954
345,12767070.833333336
346,3363873.2252900894
347,6101400.0
348,1738949.6313712494
349,4328216.059379217
350,2348543.2400136413
351,1100371.4138042126
352,1272609.2760041908
353,1707886.2251554746
354,1432332.8980015474
355,3634367.0223665233
356,984703.2006641093
357,1435987.3456671017
358,1075954.4146572668
359,2983569.9206707035
360,4267982.68146018
361,1798166.0644758958
362,3750802.4513255064
363,3783657.576441103
364,2462681.9682362555
365,1420757.059730816
366,1852644.2023908845
367,10087968.58904708
368,9118087.186091686
369,3137349.0673157256
370,2277859.568141706
371,1221853.3334683466
372,1525750.918300041
373,875008.071386958
374,1647775.6131855093
375,934435.4695956209
376,5036879.6928999275
377,3759698.5745307333
378,947267.2091812916
379,5108355.441032937
380,1876289.2332429748
381,5055532.0
382,2284116.0352724455
383,1121130.2885104332
384,15213482.833333332
385,1348790.7486353258
386,3199372.182664558
387,3480183.7707789284
388,1569749.2376266588
389,1902293.3684130632
390,1877214.046425603
391,7627353.333333332
392,1106124.9965595857
393,1186256.1004744144
394,2645855.5024666293
395,1404616.7146187145
396,813948.0718284021
397,2569191.4697532337
398,2083362.9901448928
399,1722070.5531643115
400,2395349.431737767
