,dummy_spring,sale_year,title,artist,artist_birth_year 1,artist_alive,Medium,execution_year,height,width,dummy_signed,num_owners,num_exhibits,num_lit,lot_number,house_estimate_lower,house_estimate_upper,sale_price,sold
88,0,2011,UNTITLED,64,1936,1,8,1964.0,172.7,118.5,0,2,1,0,50,2000000,3000000,1400000.0,0
89,0,2011,FOREST,115,1908,0,8,1955.0,127.0,50.8,1,6,5,5,39,800000,1000000,560000.0,0
90,0,2011,UNTITLED,4,1941,0,7,1999.0,200.0,149.5,1,3,1,0,38,250000,350000,2154500.0,1
91,1,2012,UNTITLED MONOGOLD,20,1928,0,5,1959.0,40.4,28.6,1,4,1,1,13,700000,900000,1538500.0,1
92,1,2012,UNTITLED (GREY),36,1938,1,8,1986.0,127.0,91.4,1,2,1,0,39,3000000,4000000,2100000.0,0
93,1,2012,MAY DAY V,86,1955,1,4,2006.0,323.0,218.0,1,1,2,2,56,600000,800000,902500.0,1
94,1,2012,UNTITLED (W38),68,1955,1,6,1996.0,274.3,182.8,1,5,2,1,8,4000000,6000000,5122500.0,1
95,1,2012,UNTITLED (P70),68,1955,1,6,1988.0,243.8,182.9,1,3,2,0,15,600000,800000,2042500.0,1
96,1,2012,WOLKEN (CLOUDS),128,1932,1,8,1970.0,169.5,169.5,1,3,3,4,18,5000000,7000000,5682500.0,1
97,1,2012,PORTRAIT OF DAVID LAMELAS (OBELISK),4,1941,0,7,1971.0,130.0,150.0,1,3,3,4,17,1000000,1500000,1426500.0,1
98,1,2012,THE ROOM,121,1958,1,8,1969.0,177.0,126.0,1,3,3,1,54,800000,1200000,842500.0,1
99,1,2012,UNTITLED VI,86,1955,1,4,1997.0,186.5,238.5,0,1,2,5,7,1000000,1500000,1986500.0,1
100,1,2012,UNTITLED,36,1938,1,0,1966.0,50.8,60.3,1,3,1,0,38,400000,600000,506500.0,1
101,1,2012,JAN COWLES,93,1928,0,7,1971.0,81.3,71.1,0,2,3,2,48,1500000,2500000,842500.0,1
102,1,2012,UNTITLED (YELLOW BUTTERFLY III),13,1968,1,8,2008.0,184.2,138.4,1,2,1,0,34,1500000,2000000,2098500.0,1
103,1,2012,LE TEMPS DES LILAS,62,1925,0,8,1966.0,194.6,129.5,1,5,1,0,46,2000000,3000000,2994500.0,1
104,1,2012,SAILBOATS III,15,1923,0,8,1974.0,177.8,203.3,1,6,1,1,26,6000000,8000000,11842500.0,1
105,1,2012,SLEEPING GIRL,15,1923,0,8,1964.0,91.5,91.5,1,2,2,2,16,30000000,40000000,44882500.0,1
106,1,2012,UNTITLED,35,1972,1,4,2007.0,213.7,175.6,1,2,1,0,57,400000,600000,542500.0,1
107,1,2012,ABSTRAKTES BILD,128,1932,1,8,1992.0,200.0,160.0,1,2,1,1,10,8000000,10000000,16882500.0,1
108,1,2012,BRUTUS KILLED CAESAR,108,1931,1,4,1976.0,272.4,83.2,0,1,5,3,50,400000,600000,662500.0,1
109,1,2012,DOUBLE ELVIS [FERUS TYPE],93,1928,0,4,1963.0,207.6,121.9,0,8,2,7,27,30000000,50000000,37042500.0,1
110,1,2012,BEDROOM PAINTING #27,3,1931,0,8,1970.0,182.3,241.9,1,3,1,1,52,900000,1200000,1202500.0,1
111,1,2012,CAMPBELL'S SOUP,93,1928,0,7,1986.0,182.9,152.3,1,3,1,0,49,1000000,1500000,700000.0,0
112,1,2012,"FROM LINE, 790294",137,1936,1,2,1979.0,129.3,193.8,1,2,1,0,47,1500000,2000000,1426500.0,1
