,0
479,1578772.118053649
480,1066228.8053857244
481,11038174.44458809
482,6772995.648443222
483,1775855.2373740964
484,2037312.146654922
485,8573664.45942206
486,2334654.886578225
487,5027616.994736745
488,6911515.195929996
489,7959866.549844383
490,21088857.591248393
491,20929141.523908325
492,19442345.293209177
493,5571249.136806191
494,9643264.153063603
495,18896990.791248392
496,4208862.8876964
497,3005269.8019923125
498,6094933.970434901
499,1224827.7782432141
500,8690876.436480938
501,4394047.510448636
502,1941565.2694952108
503,1430668.4146870738
504,2026480.5722621605
505,7906818.02822178
506,3181756.9351752247
507,14239670.246443193
508,1953909.3938261324
509,3762560.05451976
510,4310115.670684653
511,913726.8583744307
512,13122324.436697386
513,1542957.6252579123
514,1405580.1746269774
515,3136896.263927195
516,2456819.4677781686
517,3722675.573001152
518,16028240.281484082
519,5567860.1566113625
520,8498157.040474167
521,11260530.23172269
522,5293316.847542098
523,900966.2477309891
524,9667387.341269841
525,2935653.6196265426
526,23842094.0
527,5312390.861572706
528,4795107.2402336635
529,5584615.736293307
530,1489128.8010747042
531,896829.93851243
532,19514199.724581722
533,15461558.483685365
534,7825512.486814911
535,11958354.865737967
536,11606220.878834335
537,3252853.098047506
538,15144569.81981982
539,7632400.974672247
540,4114386.4775629584
541,5137922.080971668
542,17115957.706592306
543,2480643.511347344
544,1665348.3961944538
545,20394052.712587412
546,4287110.7173859235
547,2698887.875363145
548,5447126.343111899
549,3876623.957431457
550,2360231.270268076
551,4032578.58376014
552,17977560.162310664
553,2567469.155552915
554,6426397.673270631
555,6406180.475246977
556,2992802.765368228
557,2766826.8336964776
558,8772688.781580282
559,4378697.522126023
560,5303198.499015233
561,19485831.869297367
562,2151127.87840441
563,2813284.4533677422
564,8919865.390609266
565,4182813.326007325
566,15880323.453602703
567,1266143.3358866172
568,3522702.650869501
569,13369962.509788359
570,9296147.261575215
571,2629668.8666733047
572,11434039.81981982
573,15500350.986486487
