,0
256,709638.2521284128
257,1617273.4362786293
258,2843406.8685726034
259,3901921.8996593584
260,7883178.373848373
261,2225295.8453904344
262,22148918.283383284
263,5113863.475595869
264,2171571.89770313
265,21124001.268176273
266,6860000.219326568
267,3516684.272345083
268,1300753.526983494
269,1510788.6548249882
270,2208198.951035076
271,1123459.955088069
272,2434047.49374808
273,1123459.955088069
274,1510788.6548249882
275,3076453.741758242
276,983360.2918304893
277,5113863.475595869
278,3368727.244827795
279,2782520.2285459633
280,22567460.0
281,1054637.8478906716
282,5684839.537698414
283,3509593.314001358
284,1510788.6548249882
285,6589247.5
286,3053281.9118448556
287,2225295.8453904344
288,3074162.704985258
289,1678076.1569896683
290,17642046.666666664
291,3509593.314001358
292,12364757.08333333
293,1619106.7083231094
294,5113863.475595869
295,709638.2521284128
296,1510788.6548249882
297,3074162.704985258
298,3053281.9118448556
299,3509593.314001358
300,1093650.764790765
301,1510788.6548249882
302,6860000.219326568
303,2171571.89770313
304,2225646.4472194468
305,5113863.475595869
306,2225295.8453904344
307,3053281.9118448556
308,3053281.9118448556
309,2208198.951035076
310,2208198.951035076
311,2208198.951035076
312,3691025.570010056
313,1405902.031080031
314,6860000.219326568
315,5684839.537698414
316,983360.2918304893
317,1068352.9439203634
318,2225295.8453904344
319,3053281.9118448556
320,1432786.6676176921
321,3171961.80952381
322,2782520.2285459633
323,3129658.8885836387
324,2208198.951035076
325,622111.8609103314
326,3171961.80952381
327,2225295.8453904344
328,1054637.8478906716
329,6860000.219326568
330,5113863.475595869
331,983360.2918304893
332,3074162.704985258
333,1619106.7083231094
334,1246980.9094450383
335,841400.7734487734
336,1510788.6548249882
337,1221563.58677597
338,2171571.89770313
339,3074162.704985258
340,12364757.08333333
341,2782520.2285459633
342,3368727.244827795
343,684600.8226469468
344,13817866.666666668
345,3074162.704985258
346,651944.8128511868
347,1510788.6548249882
348,2843406.8685726034
349,3171961.80952381
350,651944.8128511868
351,1054637.8478906716
352,1353522.3316389928
353,1054637.8478906716
354,2208198.951035076
355,983360.2918304893
356,1221563.58677597
357,1036530.1067821069
358,3691025.570010056
359,3509593.314001358
360,2171571.89770313
361,3074162.704985258
362,2208198.951035076
363,1405902.031080031
364,3074162.704985258
365,1820993.4106893707
366,12761777.5
367,6860000.219326568
368,3691025.570010056
369,1820993.4106893707
370,1123459.955088069
371,1015984.2813005187
372,1246980.9094450383
373,1820993.4106893707
374,1246980.9094450383
375,5113863.475595869
376,3053281.9118448556
377,651944.8128511868
378,5113863.475595869
379,2208198.951035076
380,2782520.2285459633
381,2171571.89770313
